            2MASS_ID      x@y=0.1      x@y=0.3      x@y=0.5      x@y=0.7      x@y=0.9
  2M02455483+6543350       162.88        47.04       -45.90       -48.32       -62.45
  2M02455483+6543350      -179.05      -141.88       -53.39        64.56        39.93
  2M02455483+6543350      -176.07      -136.60      -105.25        65.09        49.75
  2M00013948+7336427       -54.75        29.68        23.34         3.25         0.32
  2M00322120+8518390        -0.10        -2.23         0.41         0.29         0.08
  2M00322120+8518390        -0.20         1.23         0.20         0.03         0.03
  2M00322120+8518390        -0.15        -0.16         0.30         0.26         0.05
  2M00322120+8518390        -0.11         0.10         0.10         0.19         0.05
  2M00322120+8518390         0.10        -7.85         0.31         0.18         0.25
  2M00322120+8518390        -0.28         4.47         0.59         0.07         0.00
  2M00322120+8518390        -0.14        -0.59        -0.16        -0.17        -0.03
  2M00322120+8518390        -0.14         0.41        -0.66        -0.02         0.05
  2M00322120+8518390        -0.14         0.29        -0.10         0.12         0.05
  2M00344509+8512058        -0.18         0.23         0.83         0.38         0.25
  2M00344509+8512058        -0.18         0.63         0.27         0.28         0.27
  2M00344509+8512058        -0.20         2.54        -0.08         0.08         0.15
  2M00344509+8512058        -0.22         2.01         0.65         0.29         0.22
  2M00344509+8512058        -0.33         1.69         0.19         0.15         0.03
  2M00344509+8512058        -0.61         5.12        -0.72        -0.06         0.00
  2M00344509+8512058        -1.26        11.03        -0.92         0.07        -0.05
  2M00344509+8512058        -0.39         4.44        -0.82         0.10        -0.02
  2M00454489+8504180        -0.13         0.59         0.22         0.19         0.12
  2M00454489+8504180        -0.10        -0.16        -0.20        -0.04         0.03
  2M00454489+8504180        -0.77         9.90         0.20         0.11         0.05
  2M00454489+8504180        -0.12         0.04         0.32         0.14         0.07
  2M00454489+8504180        -0.21         2.19         1.01         0.33         0.07
  2M00454489+8504180        -0.50         6.69         0.62         0.15        -0.05
  2M00454489+8504180        -0.23         2.66         0.29         0.08        -0.05
  2M00454489+8504180        -0.82         9.98         0.10        -0.03        -0.03
  2M00454489+8504180        -0.19         1.75         0.31         0.10        -0.03
  2M00463920+8523336        -0.11         0.08        -0.08         0.00         0.00
  2M00463920+8523336        -0.11        -0.11         0.06        -0.07         0.00
  2M00463920+8523336        -0.11        -0.14        -0.08         0.00         0.00
  2M00463920+8523336        -0.11         0.13         0.00         0.04        -0.02
  2M00463920+8523336        -0.11        -0.09        -0.03        -0.03        -0.02
  2M00463920+8523336        -0.11        -0.00         0.00         0.04        -0.02
  2M00463920+8523336        -0.11         0.31         0.00         0.04        -0.02
  2M00463920+8523336        -0.11         0.25         0.00         0.04        -0.02
  2M00463920+8523336        -0.11         0.06         0.00         0.09        -0.05
  2M00512176+8512377        -0.13         0.73        -0.03         0.02        -0.05
  2M00512176+8512377        -0.12         0.24         0.00         0.00         0.00
  2M00512176+8512377        -0.10        -0.29        -0.11        -0.03        -0.03
  2M00512176+8512377        -0.09        -0.69        -0.05        -0.05        -0.05
  2M01013568+8522254        -0.15         0.62        -0.03        -0.18        -0.05
  2M01013568+8522254        -0.14        -0.22         1.05        -0.07        -0.08
  2M01013568+8522254        -0.20         1.69        -0.26        -0.16        -0.10
  2M01013568+8522254        -0.19         1.61         0.59        -0.12        -0.12
  2M03442050+2446222        -0.11         0.02        -2.09        -1.15        -0.05
  2M03442050+2446222        -0.12         0.37        -2.19        -1.21         0.00
  2M03442050+2446222        -0.07        -0.15        -2.37        -1.32         0.05
  2M03450326+2350219        -0.14         0.20         0.00         0.04        -0.02
  2M03450326+2350219        -0.15        -0.30         0.13         0.04        -0.02
  2M03450326+2350219        -0.14         0.28         0.20         0.00         0.00
  2M03454440+2413132        -0.68         7.80         6.78         3.98        -0.38
  2M03454440+2413132         1.13        -8.62       -11.54        -0.10        -0.10
  2M03454440+2413132         0.06        -0.19        -5.28        -1.00         0.53
  2M03491172+2438117        -0.15        -0.10         0.00         0.00         0.00
  2M03491172+2438117        -0.11        -0.21         0.00         0.04        -0.02
  2M03491172+2438117        -0.09        -0.64        -0.02        -0.03        -0.02
  2M03512529+2509465        51.50        -7.59       -10.60       -13.28       -12.45
  2M03512529+2509465       -12.80         8.04         3.46         0.53         0.60
  2M03512529+2509465      -137.74        32.99        20.39        11.85         9.12
  2M05152973+4624214       -14.06        13.25         5.07         0.85        -3.12
  2M05152973+4624214      -144.16        27.52        20.12        15.32         7.72
  2M05152973+4624214       -11.58        10.87         2.90        -2.89        -0.22
  2M05152973+4624214       -32.97        18.54         9.57         2.83        -2.33
  2M05152973+4624214       -30.48        20.52         7.12        -0.18        -2.10
  2M05343976-0524254        -0.01         0.57        -2.23        -3.23         0.03
  2M05343976-0524254        -0.02        -0.48        -2.35        -3.41         0.22
  2M05343976-0524254        -0.18         1.72        -0.76        -1.16        -0.48
  2M05343976-0524254        -0.12        -0.08        -0.68        -0.46        -0.25
  2M05343976-0524254         0.07        -0.66        -3.30        -4.06        -0.89
  2M05365078-0459334        -0.24         3.03         0.83        -0.06        -0.15
  2M05565059+1621182      -126.10        22.97        18.17        14.82         8.85
  2M05565059+1621182       -55.10        15.65         9.71         4.02         6.25
  2M05565059+1621182      -123.13        18.02        16.08        12.13        12.60
  2M05565059+1621182      -181.65       -13.79        27.78        25.83        21.78
  2M06210077+1442173      -183.80        17.03        24.44        17.20        11.82
  2M06210077+1442173      -176.00        32.57        21.33        13.38         8.30
  2M06210077+1442173      -183.02        11.38        24.99        20.15        14.05
  2M06210077+1442173       -66.77        16.72        14.28         8.58         2.82
  2M06210077+1442173      -183.35        21.44        24.56        17.29        10.80
  2M06210077+1442173      -182.85        12.71        28.70        20.29        12.17
  2M06210077+1442173      -161.26        29.34        20.62        14.58         7.80
  2M06210077+1442173      -169.55        28.28        21.62        13.74         9.45
  2M06210077+1442173      -119.76        24.08        17.75        12.10         7.65
  2M06210077+1442173      -183.17        11.84        30.36        19.34        11.18
  2M06210077+1442173       -98.10        26.81        14.88         7.51         3.53
  2M07012704-0307032      -136.86        43.72        23.88         9.42        11.35
  2M07012704-0307032      -184.37       -31.80        46.65        15.89        12.35
  2M07012704-0307032        68.72       -16.20       -15.78       -10.87       -13.88
  2M07100180+3831457        -1.95        16.62        -0.33        -0.17         0.03
  2M07100180+3831457        -1.07         5.01        -5.57        -8.11         0.12
  2M07100180+3831457        -0.98         4.66        -6.54        -8.16         0.10
  2M07372136-1204047        -0.15        -0.12         0.06        -0.03        -0.02
  2M07372136-1204047        -0.15         0.00         0.06         0.02        -0.05
  2M07372136-1204047        -0.15         0.08         0.14        -0.03        -0.02
  2M07384226+2131021        -0.15         0.07         0.00         0.00         0.00
  2M07384226+2131021        -0.15         0.20         0.00         0.04        -0.03
  2M07384226+2131021        -0.15         0.00         0.00         0.04        -0.03
  2M08511335+1151401        -0.18         1.06         0.26         0.07         0.00
  2M08511335+1151401        -0.15         0.00         0.11        -0.05        -0.05
  2M08511335+1151401        -0.17         0.82         0.00         0.04        -0.02
  2M08511670+1145293        -0.18         1.01         0.05        -0.07         0.00
  2M08511670+1145293        -0.15         0.06        -0.08         0.00         0.00
  2M08511670+1145293        -0.12         0.81        -0.80        -0.26         0.05
  2M08511799+1145541        -2.29        19.10         3.48         1.41        -0.32
  2M08511799+1145541        -1.26        14.83         0.54         0.02        -0.18
  2M08511799+1145541        -7.41        28.12         3.69         2.22        -0.08
  2M08512079+1153261       -17.24        21.89        -0.87         0.05         0.05
  2M08512079+1153261        -7.38        10.16         0.16         0.95         0.05
  2M08512079+1153261       -19.64        25.57        -3.10         0.15         0.10
  2M08512175+1152378        -0.54         6.58         0.17        -0.17        -0.10
  2M08512175+1152378        -0.55         6.60         0.12        -0.06        -0.12
  2M08512175+1152378        -0.42         3.67         0.31        -0.01        -0.07
  2M08512377+1149493        -0.12         0.27         0.02         0.03         0.02
  2M08512377+1149493        -0.12         0.42         0.00         0.00         0.00
  2M08512377+1149493        -0.14        -0.44         0.00         0.04        -0.02
  2M08512530+1202563        86.93        -6.91      -100.87         2.43         2.10
  2M08512530+1202563        87.44        -1.68       -87.79        -1.74        -1.40
  2M08512530+1202563        68.94        32.58       -96.94       -94.64         0.28
  2M08512530+1202563        90.54       -19.62      -106.29         1.95         1.60
  2M08512530+1202563        91.79        -8.95      -100.17         0.35         0.03
  2M08512530+1202563        98.59         6.43       -88.10        -3.21        -1.97
  2M08512530+1202563       105.11       -37.46       -88.99        -1.74        -0.27
  2M08512530+1202563        97.20        16.11      -103.61        -0.77        -1.07
  2M08512530+1202563       105.05       -29.04      -115.09       -51.15        -0.70
  2M08512530+1202563       106.15        16.18       -88.09      -100.40         0.50
  2M08512530+1202563        90.57       -33.40       -89.48        -0.90        -0.08
  2M08512530+1202563        88.36        20.52       -89.12       -58.73         0.68
  2M08512530+1202563        89.80       -23.70       -80.50         1.00         0.75
  2M08512530+1202563       100.91       -12.04       -62.43         0.51        -1.22
  2M08512530+1202563        65.63        14.72      -112.86        -0.10        -0.65
  2M08512530+1202563        91.80       -53.54      -107.13        -0.39        -0.80
  2M08512530+1202563       105.79         6.36      -103.88        -0.87        -1.17
  2M08512530+1202563        70.07        12.79      -117.19        -1.30        -0.77
  2M08512530+1202563        84.43         5.42       -87.46        -1.63         0.57
  2M08512530+1202563       108.64       -42.04       -88.94         1.59         0.98
  2M08512530+1202563        87.33         5.66       -88.03         0.42        -0.65
  2M08512530+1202563        95.89       -12.52       -73.75       -83.62         1.60
  2M08512734+1207406        -7.84        12.18         3.60        -5.82        -0.07
  2M08512734+1207406        -3.84        12.34         0.24        -8.00        -1.85
  2M08512734+1207406        -9.90        16.86         3.07        -5.88        -1.50
  2M08512734+1207406        -1.39         9.04        -1.85        -5.97        -1.47
  2M08512734+1207406       -15.27        24.98         1.15        -6.57        -1.05
  2M08512734+1207406       -13.99        21.17         1.92        -4.91        -0.77
  2M08512734+1207406        -1.48         5.77         0.63        -5.00        -0.85
  2M08512734+1207406         0.48         0.30         0.11        -2.77         0.35
  2M08512734+1207406        -7.24        17.32        -0.04        -6.77        -0.85
  2M08512734+1207406       -13.05        16.26         4.55        -2.02        -0.22
  2M08512734+1207406       -29.40        32.69         5.21        -5.30        -0.57
  2M08512734+1207406        -8.72        13.61         2.41        -3.14         0.13
  2M08512734+1207406        -6.07        11.04         2.10        -4.63        -0.95
  2M08512734+1207406       -21.03        22.67         9.22        -2.91         0.70
  2M08512734+1207406        -4.39         9.07         1.08        -4.00        -0.20
  2M08512734+1207406      -167.37        80.49         6.46        -5.15        -1.65
  2M08512734+1207406       -14.74        14.85         7.89        -2.05        -0.12
  2M08512734+1207406        -7.51        13.91         1.47        -3.83        -1.28
  2M08512734+1207406       -23.79        23.54         8.15         0.13         0.18
  2M08512734+1207406       -18.74        27.37         3.93        -6.40        -1.05
  2M08512734+1207406       -10.62        16.89         2.73        -4.84        -1.15
  2M08512734+1207406       -31.57        33.39         7.28        -1.28        -0.30
  2M08512990+1147168        -0.11        -0.23         0.00         0.00         0.00
  2M08512990+1147168        -0.10        -0.43        -0.11        -0.07         0.00
  2M08512990+1147168        -0.10        -0.58        -0.09         0.00         0.00
  2M08513784+1150570      -179.03      -149.89      -126.02        -6.62        74.85
  2M08513784+1150570      -170.94      -117.49       -84.07        89.52        52.66
  2M08513784+1150570      -180.12      -150.32      -129.32        62.94        29.93
  2M08513784+1150570      -180.63      -151.25        57.74        30.67        22.37
  2M08513784+1150570      -177.79      -133.21       -91.47        86.27        50.21
  2M08513784+1150570      -181.45      -141.65      -109.11       -68.85        80.10
  2M08513784+1150570      -182.69      -143.47      -110.97        48.80        48.53
  2M08513784+1150570      -184.63      -140.40       -69.15        93.57        22.75
  2M08514194+1143371         1.02        -8.28         4.69         0.34        -0.15
  2M08514194+1143371        -3.09        11.44        -5.06         0.16         0.10
  2M08514194+1143371        -4.85        14.98        -0.41         0.17         0.17
  2M08514194+1143371        -3.16        12.41         4.87         0.69         0.32
  2M08514194+1143371        -1.48         8.30         0.07         0.31         0.12
