            2MASS ID        R min       XR Max
  2M02455483+6543350         0.00       225.32
  2M02455483+6543350         0.00       243.61
  2M02455483+6543350         4.22       243.61
  2M00013948+7336427         6.82        84.43
  2M00322120+8518390         0.00         2.64
  2M00322120+8518390         0.00         2.64
  2M00322120+8518390         0.00         2.64
  2M00322120+8518390         0.00         2.64
  2M00322120+8518390         0.00         8.16
  2M00322120+8518390         0.00         8.16
  2M00322120+8518390         0.00         8.16
  2M00322120+8518390         0.00         8.16
  2M00322120+8518390        16.21         8.16
  2M00344509+8512058         0.00         1.01
  2M00344509+8512058         0.00         1.01
  2M00344509+8512058         0.00         2.75
  2M00344509+8512058         0.00         2.75
  2M00344509+8512058         0.00         2.75
  2M00344509+8512058         0.00         5.84
  2M00344509+8512058         0.00        12.29
  2M00344509+8512058        16.94        12.29
  2M00454489+8504180         0.00         0.72
  2M00454489+8504180         0.00         0.72
  2M00454489+8504180         0.00        10.67
  2M00454489+8504180         0.00        10.67
  2M00454489+8504180         0.00        10.67
  2M00454489+8504180         0.00        10.67
  2M00454489+8504180         0.00        10.67
  2M00454489+8504180         0.00        10.80
  2M00454489+8504180        19.82        10.80
  2M00463920+8523336         0.00         0.19
  2M00463920+8523336         0.00         0.19
  2M00463920+8523336         0.00         0.19
  2M00463920+8523336         0.00         0.24
  2M00463920+8523336         0.00         0.24
  2M00463920+8523336         0.00         0.24
  2M00463920+8523336         0.00         0.42
  2M00463920+8523336         0.00         0.42
  2M00463920+8523336        53.32         0.42
  2M00512176+8512377         0.00         0.85
  2M00512176+8512377         0.00         0.85
  2M00512176+8512377         0.00         0.85
  2M00512176+8512377        35.56         0.85
  2M01013568+8522254         0.00         0.79
  2M01013568+8522254         0.00         1.27
  2M01013568+8522254         0.00         1.95
  2M01013568+8522254        18.02         1.95
  2M03442050+2446222         0.00         2.11
  2M03442050+2446222         0.00         2.57
  2M03442050+2446222        34.98         2.57
  2M03450326+2350219         0.00         0.34
  2M03450326+2350219         0.00         0.43
  2M03450326+2350219        53.76         0.43
  2M03454440+2413132         0.00         8.48
  2M03454440+2413132         0.00        12.66
  2M03454440+2413132        10.16        12.66
  2M03491172+2438117         0.00         0.15
  2M03491172+2438117         0.00         0.25
  2M03491172+2438117        40.84         0.62
  2M03512529+2509465         0.00        64.78
  2M03512529+2509465         0.00        64.78
  2M03512529+2509465         9.41       170.73
  2M05152973+4624214         0.00        27.31
  2M05152973+4624214         0.00       171.67
  2M05152973+4624214         0.00       171.67
  2M05152973+4624214         0.00       171.67
  2M05152973+4624214         2.76       171.67
  2M05343976-0524254         0.00         3.80
  2M05343976-0524254         0.00         3.80
  2M05343976-0524254         0.00         3.80
  2M05343976-0524254         7.20         3.80
  2M05343976-0524254         7.55         4.13
  2M05365078-0459334        13.45         3.27
  2M05565059+1621182         0.00       149.07
  2M05565059+1621182         0.00       149.07
  2M05565059+1621182         0.00       149.07
  2M05565059+1621182         4.25       209.43
  2M06210077+1442173         0.00       208.24
  2M06210077+1442173         0.00       208.57
  2M06210077+1442173         0.00       208.57
  2M06210077+1442173         0.00       208.57
  2M06210077+1442173         0.00       208.57
  2M06210077+1442173         0.00       211.55
  2M06210077+1442173         0.00       211.55
  2M06210077+1442173         0.00       211.55
  2M06210077+1442173         0.00       211.55
  2M06210077+1442173         0.00       213.53
  2M06210077+1442173         6.64       213.53
  2M07012704-0307032         0.00       180.58
  2M07012704-0307032         0.00       231.02
  2M07012704-0307032         7.31       231.02
  2M07100180+3831457         0.00        18.56
  2M07100180+3831457         0.00        18.56
  2M07100180+3831457        10.28        18.56
  2M07372136-1204047         0.00         0.21
  2M07372136-1204047         0.00         0.21
  2M07372136-1204047        58.71         0.29
  2M07384226+2131021         0.00         0.22
  2M07384226+2131021         0.00         0.35
  2M07384226+2131021        37.04         0.35
  2M08511335+1151401         0.00         1.24
  2M08511335+1151401         0.00         1.24
  2M08511335+1151401        43.51         1.24
  2M08511670+1145293         0.00         1.19
  2M08511670+1145293         0.00         1.19
  2M08511670+1145293        46.63         1.62
  2M08511799+1145541         0.00        21.39
  2M08511799+1145541         0.00        21.39
  2M08511799+1145541         9.23        35.53
  2M08512079+1153261         0.00        39.14
  2M08512079+1153261         0.00        39.14
  2M08512079+1153261         9.33        45.21
  2M08512175+1152378         0.00         7.12
  2M08512175+1152378         0.00         7.15
  2M08512175+1152378        34.96         7.15
  2M08512377+1149493         0.00         0.39
  2M08512377+1149493         0.00         0.54
  2M08512377+1149493        58.21         0.54
  2M08512530+1202563         0.00       187.80
  2M08512530+1202563         0.00       187.80
  2M08512530+1202563         0.00       187.80
  2M08512530+1202563         0.00       196.82
  2M08512530+1202563         0.00       196.82
  2M08512530+1202563         0.00       196.82
  2M08512530+1202563         0.00       196.82
  2M08512530+1202563         0.00       200.81
  2M08512530+1202563         0.00       220.13
  2M08512530+1202563         0.00       220.13
  2M08512530+1202563         0.00       220.13
  2M08512530+1202563         0.00       220.13
  2M08512530+1202563         0.00       220.13
  2M08512530+1202563         0.00       220.13
  2M08512530+1202563         0.00       220.13
  2M08512530+1202563         0.00       220.13
  2M08512530+1202563         0.00       220.13
  2M08512530+1202563         0.00       220.13
  2M08512530+1202563         0.00       220.13
  2M08512530+1202563         0.00       220.13
  2M08512530+1202563         0.00       220.13
  2M08512530+1202563         2.19       220.13
  2M08512734+1207406         0.00        20.02
  2M08512734+1207406         0.00        20.34
  2M08512734+1207406         0.00        26.76
  2M08512734+1207406         0.00        26.76
  2M08512734+1207406         0.00        40.25
  2M08512734+1207406         0.00        40.25
  2M08512734+1207406         0.00        40.25
  2M08512734+1207406         0.00        40.25
  2M08512734+1207406         0.00        40.25
  2M08512734+1207406         0.00        40.25
  2M08512734+1207406         0.00        62.09
  2M08512734+1207406         0.00        62.09
  2M08512734+1207406         0.00        62.09
  2M08512734+1207406         0.00        62.09
  2M08512734+1207406         0.00        62.09
  2M08512734+1207406         0.00       247.86
  2M08512734+1207406         0.00       247.86
  2M08512734+1207406         0.00       247.86
  2M08512734+1207406         0.00       247.86
  2M08512734+1207406         0.00       247.86
  2M08512734+1207406         0.00       247.86
  2M08512734+1207406         6.77       247.86
  2M08512990+1147168         0.00         0.23
  2M08512990+1147168         0.00         0.43
  2M08512990+1147168        48.93         0.58
  2M08513784+1150570         0.00       253.87
  2M08513784+1150570         0.00       260.46
  2M08513784+1150570         0.00       260.46
  2M08513784+1150570         0.00       260.46
  2M08513784+1150570         0.00       264.06
  2M08513784+1150570         0.00       264.06
  2M08513784+1150570         0.00       264.06
  2M08513784+1150570         0.46       278.20
  2M08514194+1143371         0.00        12.98
  2M08514194+1143371         0.00        16.49
  2M08514194+1143371         0.00        19.83
  2M08514194+1143371         0.00        19.83
  2M08514194+1143371         0.00        19.83
  2M08514194+1143371         0.00        19.83
  2M08514194+1143371         0.00        20.29
  2M08514194+1143371        14.72        20.29
  2M08514355+1144264         0.00         0.38
  2M08514355+1144264         0.00         0.38
  2M08514355+1144264        61.66         0.82
